title,year,rating,link
Megalodón,2018,"<td class=""ratingColumn imdbRating"">
<strong title=""5.6 based on 179,330 user ratings"">5.6</strong>
</td>",https://www.imdb.com/title/tt4779682/
Los caballeros del zodiaco,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""4.6 based on 2,515 user ratings"">4.6</strong>
</td>",https://www.imdb.com/title/tt6528290/
Cadena perpetua,1994,"<td class=""ratingColumn imdbRating"">
<strong title=""9.3 based on 2,740,502 user ratings"">9.3</strong>
</td>",https://www.imdb.com/title/tt0111161/
Maravilloso desastre,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.2 based on 2,944 user ratings"">5.2</strong>
</td>",https://www.imdb.com/title/tt2316548/
Nefarious,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.7 based on 3,927 user ratings"">6.7</strong>
</td>",https://www.imdb.com/title/tt14537248/
Oso vicioso,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.0 based on 68,686 user ratings"">6.0</strong>
</td>",https://www.imdb.com/title/tt14209916/
Operacion Fortune: El gran engaño,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.3 based on 52,164 user ratings"">6.3</strong>
</td>",https://www.imdb.com/title/tt7985704/
Los juegos del hambre: Balada de pájaros cantores y serpientes,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt10545296/
Todo a la vez en todas partes,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.8 based on 444,005 user ratings"">7.8</strong>
</td>",https://www.imdb.com/title/tt6710474/
Hypnotic,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.6 based on 1,745 user ratings"">5.6</strong>
</td>",https://www.imdb.com/title/tt8080204/
Flamin' Hot,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""8.0 based on 84 user ratings"">8.0</strong>
</td>",https://www.imdb.com/title/tt8105234/
Barbie,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt1517268/
Paint,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.0 based on 1,564 user ratings"">5.0</strong>
</td>",https://www.imdb.com/title/tt14472156/
Posesión infernal,2013,"<td class=""ratingColumn imdbRating"">
<strong title=""6.5 based on 185,425 user ratings"">6.5</strong>
</td>",https://www.imdb.com/title/tt1288558/
Book Club: Ahora Italia,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.7 based on 828 user ratings"">5.7</strong>
</td>",https://www.imdb.com/title/tt20768712/
Top Gun: Maverick,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""8.3 based on 584,262 user ratings"">8.3</strong>
</td>",https://www.imdb.com/title/tt1745960/
El menú,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.2 based on 311,888 user ratings"">7.2</strong>
</td>",https://www.imdb.com/title/tt9764362/
Llaman a la puerta,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.1 based on 73,440 user ratings"">6.1</strong>
</td>",https://www.imdb.com/title/tt15679400/
Dando la nota,2012,"<td class=""ratingColumn imdbRating"">
<strong title=""7.1 based on 315,990 user ratings"">7.1</strong>
</td>",https://www.imdb.com/title/tt1981677/
Mentira o astucia,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.2 based on 18,621 user ratings"">6.2</strong>
</td>",https://www.imdb.com/title/tt8672856/
Cráter,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.0 based on 1,683 user ratings"">5.0</strong>
</td>",https://www.imdb.com/title/tt5264838/
El padrino,1972,"<td class=""ratingColumn imdbRating"">
<strong title=""9.2 based on 1,905,739 user ratings"">9.2</strong>
</td>",https://www.imdb.com/title/tt0068646/
Book Club,2018,"<td class=""ratingColumn imdbRating"">
<strong title=""6.1 based on 29,761 user ratings"">6.1</strong>
</td>",https://www.imdb.com/title/tt6857166/
Killers of the Flower Moon,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt5537002/
¡Shazam! La furia de los dioses,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.0 based on 67,797 user ratings"">6.0</strong>
</td>",https://www.imdb.com/title/tt10151854/
Bullet Train,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.3 based on 354,848 user ratings"">7.3</strong>
</td>",https://www.imdb.com/title/tt12593682/
La ballena,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.7 based on 142,255 user ratings"">7.7</strong>
</td>",https://www.imdb.com/title/tt13833688/
La chica en el sótano,2021,"<td class=""ratingColumn imdbRating"">
<strong title=""6.3 based on 9,898 user ratings"">6.3</strong>
</td>",https://www.imdb.com/title/tt13269536/
Babylon,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.2 based on 115,937 user ratings"">7.2</strong>
</td>",https://www.imdb.com/title/tt10640346/
Scream,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.3 based on 135,843 user ratings"">6.3</strong>
</td>",https://www.imdb.com/title/tt11245972/
Mafia Mamma,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.3 based on 3,323 user ratings"">5.3</strong>
</td>",https://www.imdb.com/title/tt13923456/
El escuadrón suicida,2021,"<td class=""ratingColumn imdbRating"">
<strong title=""7.2 based on 370,942 user ratings"">7.2</strong>
</td>",https://www.imdb.com/title/tt6334354/
Fall,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.4 based on 80,964 user ratings"">6.4</strong>
</td>",https://www.imdb.com/title/tt15325794/
Five Nights at Freddy's,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt4589218/
The Artifice Girl,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.6 based on 3,686 user ratings"">6.6</strong>
</td>",https://www.imdb.com/title/tt20859464/
Siete reyes deben morir,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""6.9 based on 24,296 user ratings"">6.9</strong>
</td>",https://www.imdb.com/title/tt15767808/
Bitelchús,1988,"<td class=""ratingColumn imdbRating"">
<strong title=""7.5 based on 315,071 user ratings"">7.5</strong>
</td>",https://www.imdb.com/title/tt0094721/
Dead Shot,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.5 based on 749 user ratings"">5.5</strong>
</td>",https://www.imdb.com/title/tt8019518/
Tetris,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""7.4 based on 46,089 user ratings"">7.4</strong>
</td>",https://www.imdb.com/title/tt12758060/
Midsommar,2019,"<td class=""ratingColumn imdbRating"">
<strong title=""7.1 based on 350,094 user ratings"">7.1</strong>
</td>",https://www.imdb.com/title/tt8772262/
Interstellar,2014,"<td class=""ratingColumn imdbRating"">
<strong title=""8.7 based on 1,904,838 user ratings"">8.7</strong>
</td>",https://www.imdb.com/title/tt0816692/
El club del odio,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.2 based on 5,809 user ratings"">6.2</strong>
</td>",https://www.imdb.com/title/tt14557188/
65,2023,"<td class=""ratingColumn imdbRating"">
<strong title=""5.4 based on 42,483 user ratings"">5.4</strong>
</td>",https://www.imdb.com/title/tt12261776/
El triángulo de la tristeza,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.3 based on 132,676 user ratings"">7.3</strong>
</td>",https://www.imdb.com/title/tt7322224/
Love,2015,"<td class=""ratingColumn imdbRating"">
<strong title=""6.1 based on 62,287 user ratings"">6.1</strong>
</td>",https://www.imdb.com/title/tt3774694/
Expend4bles,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt3291150/
Indiana Jones y el dial del destino,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt1462764/
Posesión infernal,1981,"<td class=""ratingColumn imdbRating"">
<strong title=""7.4 based on 220,589 user ratings"">7.4</strong>
</td>",https://www.imdb.com/title/tt0083907/
Asteroid City,2023,"<td class=""ratingColumn imdbRating"">
</td>",https://www.imdb.com/title/tt14230388/
El gato con botas: El último deseo,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.9 based on 127,467 user ratings"">7.9</strong>
</td>",https://www.imdb.com/title/tt3915174/
The Batman,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""7.8 based on 697,755 user ratings"">7.8</strong>
</td>",https://www.imdb.com/title/tt1877830/
Vengadores: Endgame,2019,"<td class=""ratingColumn imdbRating"">
<strong title=""8.4 based on 1,176,425 user ratings"">8.4</strong>
</td>",https://www.imdb.com/title/tt4154796/
M3GAN,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.4 based on 101,406 user ratings"">6.4</strong>
</td>",https://www.imdb.com/title/tt8760708/
John Wick (Otro día para matar),2014,"<td class=""ratingColumn imdbRating"">
<strong title=""7.4 based on 690,492 user ratings"">7.4</strong>
</td>",https://www.imdb.com/title/tt2911666/
¡Nop!,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.8 based on 227,432 user ratings"">6.8</strong>
</td>",https://www.imdb.com/title/tt10954984/
Thor: Love and Thunder,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.2 based on 361,723 user ratings"">6.2</strong>
</td>",https://www.imdb.com/title/tt10648342/
Spider-Man: No Way Home,2021,"<td class=""ratingColumn imdbRating"">
<strong title=""8.2 based on 793,633 user ratings"">8.2</strong>
</td>",https://www.imdb.com/title/tt10872600/
Viaje al paraíso,2022,"<td class=""ratingColumn imdbRating"">
<strong title=""6.1 based on 51,240 user ratings"">6.1</strong>
</td>",https://www.imdb.com/title/tt14109724/
Bajo sospecha,2019,"<td class=""ratingColumn imdbRating"">
<strong title=""5.7 based on 7,349 user ratings"">5.7</strong>
</td>",https://www.imdb.com/title/tt5688068/
American Graffiti,1973,"<td class=""ratingColumn imdbRating"">
<strong title=""7.4 based on 93,504 user ratings"">7.4</strong>
</td>",https://www.imdb.com/title/tt0069704/
